File,for/loops,while/loops,do-while/loops,total
fuzz/crl-test-bin-test-corpus.c,0,1,1,2
crypto/asn1/libcrypto-shlib-tasn_prn.c,0,0,3,3
crypto/evp/libcrypto-lib-cmeth_lib.c,1,0,0,1
providers/implementations/macs/libdefault-lib-blake2s_mac.c,0,0,1,1
providers/implementations/rands/libdefault-lib-drbg_ctr.c,1,0,6,7
ssl/quic/libssl-shlib-quic_ackm.c,0,4,10,14
providers/implementations/ciphers/libdefault-lib-cipher_aes_ocb.c,1,0,0,1
test/asn1_stable_parse_test-bin-asn1_stable_parse_test.c,0,1,0,1
ssl/quic/libssl-lib-quic_sf_list.c,0,3,3,6
crypto/http/libcrypto-shlib-http_lib.c,1,1,0,2
ssl/statem/libssl-shlib-extensions_srvr.c,0,4,10,14
crypto/asn1/libcrypto-lib-asn1_gen.c,1,2,4,7
crypto/engine/libcrypto-lib-tb_cipher.c,1,0,0,1
crypto/asn1/libcrypto-shlib-f_int.c,0,0,4,4
crypto/des/liblegacy-lib-des_enc.c,0,0,4,4
providers/implementations/ciphers/liblegacy-lib-cipher_blowfish_hw.c,0,0,4,4
crypto/ec/curve448/libcrypto-lib-curve448.c,2,7,6,15
crypto/libcrypto-lib-provider_conf.c,1,1,3,5
crypto/bf/libcrypto-lib-bf_cfb64.c,0,0,2,2
crypto/evp/libcrypto-shlib-ctrl_params_translate.c,5,2,4,11
test/cmactest-bin-cmactest.c,1,0,5,6
test/bio_pw_callback_test-bin-bio_pw_callback_test.c,0,1,1,2
crypto/libcrypto-shlib-params.c,1,0,3,4
crypto/ml_dsa/libcrypto-shlib-ml_dsa_encoders.c,0,1,29,30
test/tls13ccstest-bin-tls13ccstest.c,0,1,0,1
ssl/statem/libssl-shlib-statem_srvr.c,7,1,7,15
crypto/sm2/libcrypto-shlib-sm2_sign.c,0,0,3,3
fuzz/decoder-test-bin-test-corpus.c,0,1,1,2
fuzz/ml-dsa-test-bin-test-corpus.c,0,1,1,2
test/helpers/pkcs12_api_test-bin-pkcs12.c,1,2,1,4
crypto/modes/libcrypto-shlib-ghash-x86_64.c,130,4,3,137
providers/implementations/ciphers/libcommon-lib-ciphercommon_gcm.c,0,0,1,1
