bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
write.c,../samples/.cache/coreutils/coreutils-9.7/lib/write.c,1,0,0,1,,,,,
readlinkat.c,../samples/.cache/coreutils/coreutils-9.7/lib/readlinkat.c,0,0,0,0,,,,,
acl_entries.c,../samples/.cache/coreutils/coreutils-9.7/lib/acl_entries.c,2,0,0,2,,,,,
frexpl.c,../samples/.cache/coreutils/coreutils-9.7/lib/frexpl.c,0,0,0,0,,,,,
mbtowc.c,../samples/.cache/coreutils/coreutils-9.7/lib/mbtowc.c,0,0,0,0,,,,,
stat-w32.c,../samples/.cache/coreutils/coreutils-9.7/lib/stat-w32.c,1,0,0,1,,,,,
getloadavg.c,../samples/.cache/coreutils/coreutils-9.7/lib/getloadavg.c,7,2,0,9,,,,,
allocator.c,../samples/.cache/coreutils/coreutils-9.7/lib/allocator.c,0,0,0,0,,,,,
utimensat.c,../samples/.cache/coreutils/coreutils-9.7/lib/utimensat.c,0,0,0,0,,,,,
savedir.c,../samples/.cache/coreutils/coreutils-9.7/lib/savedir.c,2,0,0,2,,,,,
umaxtostr.c,../samples/.cache/coreutils/coreutils-9.7/lib/umaxtostr.c,0,0,0,0,,,,,
xstrtoimax.c,../samples/.cache/coreutils/coreutils-9.7/lib/xstrtoimax.c,0,0,0,0,,,,,
exitfail.c,../samples/.cache/coreutils/coreutils-9.7/lib/exitfail.c,0,0,0,0,,,,,
opendir.c,../samples/.cache/coreutils/coreutils-9.7/lib/opendir.c,0,0,0,0,,,,,
putenv.c,../samples/.cache/coreutils/coreutils-9.7/lib/putenv.c,2,0,0,2,,,,,
sha512-stream.c,../samples/.cache/coreutils/coreutils-9.7/lib/sha512-stream.c,0,2,0,2,,,,,
fprintftime.c,../samples/.cache/coreutils/coreutils-9.7/lib/fprintftime.c,0,0,0,0,,,,,
xtime.c,../samples/.cache/coreutils/coreutils-9.7/lib/xtime.c,0,0,0,0,,,,,
se-context.c,../samples/.cache/coreutils/coreutils-9.7/lib/se-context.c,0,0,0,0,,,,,
c32width.c,../samples/.cache/coreutils/coreutils-9.7/lib/c32width.c,0,0,0,0,,,,,
selinux-at.c,../samples/.cache/coreutils/coreutils-9.7/lib/selinux-at.c,0,0,0,0,,,,,
md5.c,../samples/.cache/godot/godot-4.4.1-stable/thirdparty/mbedtls/library/md5.c,1,1,0,2,,,,,
group-member.c,../samples/.cache/coreutils/coreutils-9.7/lib/group-member.c,2,0,0,2,,,,,
c32isalnum.c,../samples/.cache/coreutils/coreutils-9.7/lib/c32isalnum.c,0,0,0,0,,,,,
tzset.c,../samples/.cache/coreutils/coreutils-9.7/lib/tzset.c,2,0,0,2,,,,,
ctype_print.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_print.c,0,0,0,0,,,,,
ctype_upper.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_upper.c,0,0,0,0,,,,,
ctype_blank.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_blank.c,0,0,0,0,,,,,
ctype_space.c,../samples/.cache/coreutils/coreutils-9.7/lib/unictype/ctype_space.c,0,0,0,0,,,,,
