Repo,File,for loops,while loops,do-while loops,total
coreutil,lib/copy-file-range.c,0,0,0,0
coreutil,lib/strnlen.c,1,0,0,1
coreutil,lib/mkdir.c,0,0,0,0
coreutil,lib/sockets.c,0,0,0,0
coreutil,lib/dirname.c,0,0,0,0
coreutil,lib/wmempcpy.c,0,0,0,0
coreutil,lib/regexec.c,72,6,7,78
coreutil,lib/settime.c,0,0,0,0
coreutil,lib/mbswidth.c,1,2,0,3
coreutil,lib/xdectoint.c,0,0,0,0
coreutil,lib/xstrtold.c,0,0,0,0
coreutil,lib/freopen.c,0,0,0,0
coreutil,lib/ldtoastr.c,0,0,0,0
coreutil,lib/ftello.c,0,0,0,0
coreutil,lib/backup-find.c,0,0,0,0
coreutil,lib/se-selinux.c,0,0,0,0
coreutil,lib/symlink.c,0,0,0,0
coreutil,lib/fsync.c,0,0,0,0
coreutil,lib/stpcpy.c,0,0,1,0
coreutil,lib/time_rz.c,0,2,0,2
coreutil,lib/xprintf.c,0,0,0,0
coreutil,lib/safe-write.c,0,0,0,0
coreutil,lib/chmodat.c,0,0,0,0
coreutil,lib/fstat.c,0,0,0,0
coreutil,lib/fnmatch.c,0,0,1,0
coreutil,lib/chown.c,0,0,0,0
coreutil,lib/nanosleep.c,1,1,0,2
coreutil,lib/tempname.c,2,1,0,3
coreutil,lib/printf-frexp.c,2,2,0,4
coreutil,lib/fflush.c,0,0,0,0
coreutil,lib/memcmp2.c,0,0,0,0
coreutil,lib/read-file.c,1,0,0,1
coreutil,lib/hash-triple.c,0,0,0,0
coreutil,lib/get-permissions.c,2,0,0,2
coreutil,lib/mbslen.c,2,0,0,2
coreutil,lib/areadlinkat-with-size.c,0,1,0,1
coreutil,lib/isnanl.c,0,0,0,0
coreutil,lib/obstack.c,1,2,0,3
coreutil,lib/fopen.c,1,0,0,1
coreutil,lib/dtotimespec.c,0,0,0,0
coreutil,lib/strtoul.c,0,0,0,0
coreutil,lib/qsort.c,2,6,1,8
coreutil,lib/calloc.c,0,0,0,0
coreutil,lib/rewinddir.c,0,0,0,0
coreutil,lib/di-set.c,1,0,0,1
coreutil,lib/btoc32.c,0,0,0,0
coreutil,lib/lseek.c,0,0,0,0
coreutil,lib/mbrtoc32.c,0,0,0,0
coreutil,lib/unistr/u32-pcpy.c,0,0,0,0
coreutil,lib/unistr/u8-mbtoucr.c,0,0,0,0
coreutil,lib/unistr/u32-strlen.c,0,0,0,0
coreutil,lib/unistr/u32-strcat.c,0,0,0,0
coreutil,lib/unistr/u32-chr.c,1,0,0,1
coreutil,lib/unistr/u32-cpy.c,0,0,0,0
coreutil,lib/unistr/u8-uctomb.c,0,0,0,0
coreutil,lib/unistr/u8-uctomb-aux.c,0,0,0,0
coreutil,lib/memset_explicit.c,0,0,0,0
coreutil,lib/careadlinkat.c,0,1,0,1
coreutil,lib/fdopendir.c,0,0,0,0
coreutil,lib/xgetcwd.c,0,0,0,0
coreutil,lib/xalloc-die.c,0,0,0,0
coreutil,lib/memcasecmp.c,1,0,0,1
coreutil,lib/readtokens.c,4,0,0,4
coreutil,lib/xstrtoumax.c,0,0,0,0
coreutil,lib/regex_internal.c,32,8,1,40
coreutil,lib/ftruncate.c,0,1,0,1
coreutil,lib/u64.c,0,0,0,0
coreutil,lib/fdopen.c,0,0,0,0
coreutil,lib/c32isalpha.c,0,0,0,0
coreutil,lib/mkfifoat.c,0,0,0,0
coreutil,lib/exclude.c,12,3,2,15
coreutil,lib/readdir.c,0,0,0,0
coreutil,lib/strtold.c,0,0,0,0
coreutil,lib/printf-parse.c,9,2,0,11
coreutil,lib/mbrtowc.c,1,0,0,1
coreutil,lib/same-inode.c,0,0,0,0
coreutil,lib/signbitl.c,0,0,0,0
coreutil,lib/malloca.c,0,0,0,0
coreutil,lib/isnan.c,0,0,0,0
coreutil,lib/endian.c,0,0,0,0
coreutil,lib/argmatch.c,4,0,0,4
coreutil,lib/fileblocks.c,0,0,0,0
coreutil,lib/faccessat.c,0,0,0,0
coreutil,lib/iswpunct.c,0,0,0,0
coreutil,lib/strtoumax.c,0,0,0,0
coreutil,lib/openat.c,0,0,0,0
coreutil,lib/mbsrtoc32s-state.c,0,0,0,0
coreutil,lib/mkstemp.c,0,0,0,0
