File,for loops,while loops,do-while loops,total
test/helpers/quicfaultstest-bin-ssltestlib.c,6,7,12,25
test/helpers/quic_multistream_test-bin-quictestlib.c,1,1,11,13
test/helpers/quic_multistream_test-bin-ssltestlib.c,6,7,12,25
test/helpers/quic_newcid_test-bin-quictestlib.c,1,1,11,13
test/helpers/quic_newcid_test-bin-ssltestlib.c,6,7,12,25
test/helpers/quic_radix_test-bin-quictestlib.c,1,1,11,13
test/helpers/quic_radix_test-bin-ssltestlib.c,6,7,12,25
test/helpers/quic_srt_gen_test-bin-quictestlib.c,1,1,11,13
test/helpers/quic_srt_gen_test-bin-ssltestlib.c,6,7,12,25
test/helpers/recordlentest-bin-ssltestlib.c,6,7,12,25
test/helpers/rpktest-bin-ssltestlib.c,6,7,12,25
test/helpers/servername_test-bin-ssltestlib.c,6,7,12,25
test/helpers/sslapitest-bin-ssltestlib.c,6,7,12,25
test/helpers/sslbuffertest-bin-ssltestlib.c,6,7,12,25
test/helpers/sslcorrupttest-bin-ssltestlib.c,6,7,12,25
test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,6,7,12,25
test/helpers/tls13ccstest-bin-ssltestlib.c,6,7,12,25
test/helpers/tls13groupselection_test-bin-ssltestlib.c,6,7,12,25
test/hpke_test-bin-hpke_test.c,16,4,11,31
test/membio_test-bin-membio_test.c,2,0,0,2
test/ocspapitest-bin-ocspapitest.c,1,0,0,1
test/provider_test-bin-provider_test.c,2,1,1,4
test/quic_ackm_test-bin-quic_ackm_test.c,1,1,12,14
test/quic_client_test-bin-quic_client_test.c,1,0,2,3
test/quic_multistream_test-bin-quic_multistream_test.c,5,4,13,22
test/quic_txp_test-bin-quic_txp_test.c,3,1,2,6
test/rc4test-bin-rc4test.c,8,0,1,9
test/sslapitest-bin-sslapitest.c,19,4,30,53
