file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
crypto/modes/ccm128.c,crypto/modes/ccm128.c,openssl,crypto/modes/ccm128.c,15,2,3,17,crypto/modes/ccm128.c,crypto/modes/ccm128.c,0,0,9,0,crypto/modes/ccm128.c,17,0,9,26
crypto/modes/ctr128.c,crypto/modes/ctr128.c,openssl,crypto/modes/ctr128.c,1,7,4,8,crypto/modes/ctr128.c,crypto/modes/ctr128.c,1,2,3,3,crypto/modes/ctr128.c,3,2,3,8
crypto/modes/ocb128.c,crypto/modes/ocb128.c,openssl,crypto/modes/ocb128.c,5,4,0,9,crypto/modes/ocb128.c,crypto/modes/ocb128.c,3,3,7,6,crypto/modes/ocb128.c,11,3,7,21
crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,openssl,crypto/bio/bio_addr.c,2,1,0,3,crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,4,1,1,5,crypto/bio/bio_addr.c,6,1,1,8
crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,openssl,crypto/bio/bss_dgram_pair.c,2,3,0,5,crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,2,2,5,4,crypto/bio/bss_dgram_pair.c,5,2,5,12
crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,openssl,crypto/rc2/rc2_skey.c,3,1,0,4,crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,0,0,4,0,crypto/rc2/rc2_skey.c,1,0,4,5
crypto/seed/seed.c,crypto/seed/seed.c,openssl,crypto/seed/seed.c,3,0,0,3,crypto/seed/seed.c,crypto/seed/seed.c,0,0,0,0,crypto/seed/seed.c,2,0,0,2
crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,openssl,crypto/ts/ts_rsp_sign.c,4,1,0,5,crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,1,0,3,1,crypto/ts/ts_rsp_sign.c,3,0,3,6
crypto/ts/ts_verify_ctx.c,crypto/ts/ts_verify_ctx.c,openssl,crypto/ts/ts_verify_ctx.c,0,0,0,0,crypto/ts/ts_verify_ctx.c,crypto/ts/ts_verify_ctx.c,0,0,0,0,crypto/ts/ts_verify_ctx.c,3,0,0,3
crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,openssl,crypto/ripemd/rmd_dgst.c,1,0,0,1,crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,0,0,4,0,crypto/ripemd/rmd_dgst.c,3,0,4,7
