bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
particles_storage.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers rendering renderer_rd storage_rd particles_storage.linuxbsd.editor.x86_64.c,17,29,113,159,,,,,
cmp_client_test-bin-cmp_testlib.c,../samples/decompilations/rerolled/test helpers cmp_client_test-bin-cmp_testlib.c,0,0,0,0,,,,,
gdscript_highlighter.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules gdscript editor gdscript_highlighter.linuxbsd.editor.x86_64.c,17,23,70,110,,,,,
editor_scene_tabs.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor gui editor_scene_tabs.linuxbsd.editor.x86_64.c,11,12,27,50,,,,,
shape_cast_2d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene 2d physics shape_cast_2d.linuxbsd.editor.x86_64.c,7,9,23,39,,,,,
libcrypto-lib-mem.c,../samples/decompilations/rerolled/crypto libcrypto-lib-mem.c,2,0,0,2,,,,,
polygon_3d_editor_plugin.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor plugins polygon_3d_editor_plugin.linuxbsd.editor.x86_64.c,16,8,23,47,,,,,
liblegacy-lib-prov_running.c,../samples/decompilations/rerolled/providers liblegacy-lib-prov_running.c,0,0,0,0,,,,,
libcoreutils_a-mbsrtowcs-state.c,../samples/decompilations/rerolled/lib libcoreutils_a-mbsrtowcs-state.c,0,0,0,0,,,,,
ucnvisci.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty icu4c common ucnvisci.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
audio_effect_distortion.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers audio effects audio_effect_distortion.linuxbsd.editor.x86_64.c,8,9,20,37,,,,,
